"損益レポート (2025年03月~2026年02月）"
"取引先","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","合計 (2025-03　~　2026-02)"
"グーグル・クラウド・ジャパン合同会社","-18206","-19087","-260","-23033","-8501","-13993","-34987","-24784","-45228","-65731","0","0","-253810"
"マイス株式会社","0","-275000","0","0","0","0","0","0","0","0","0","0","-275000"
"加藤篤","0","0","0","0","0","-132000","-63000","0","-188100","0","0","0","-383100"
"Open AI, LCC","-33948","-32669","-65202","0","-55005","-48581","-8366","-89643","-8879","-26570","-21360","0","-390223"
"桑島陽斗","0","0","0","-10000","-102000","-79000","-12000","-63000","-29000","0","-114000","0","-409000"
"MEZAME AI 岡田","0","-412500","0","0","0","0","0","0","0","0","0","0","-412500"
"羽田野喜幸","0","0","0","0","0","0","-126000","-144000","-168000","-6000","0","0","-444000"
"nex株式会社","0","0","0","0","0","0","0","0","0","-396252","0","-129945","-526197"
"Amazon Web Services, Inc.,","-73529","-79756","-74047","-74394","-71873","-75555","-75735","-73598","-2951","0","0","0","-601438"
"株式会社AsetZ","-55000","-55000","-55000","-55000","-55000","-55000","-55000","-55000","-55000","-55000","-55000","0","-605000"
"株式会社Another works","0","0","0","0","-86911","-86889","-86900","-86900","-86911","-86889","-86900","0","-608300"
"エリアリンク株式会社","-84892","-86047","-84892","-87780","-84892","-86047","-84892","0","0","-24255","0","0","-623697"
"井手弘達税理士事務所","-63800","-52800","-52800","-52800","-52800","-52800","-52800","-52800","-55000","-55000","-99000","0","-642400"
"株式会社イプロス","0","0","0","0","0","0","0","0","0","0","-687500","0","-687500"
"上田輝","0","0","0","0","0","0","-220000","-220000","-220000","-220000","-220000","0","-1100000"
"Anysphere","-28130","-22946","-9335","-71645","-96811","-47707","-69809","-160872","-131763","-541037","-101288","0","-1281343"
"長島陸温","0","0","0","0","0","0","-165000","-660000","-275000","0","-385000","0","-1485000"
"発注ナビ株式会社","-891000","-198000","-297000","-99000","-99000","0","0","0","0","0","0","0","-1584000"
"初村秀仁","0","0","0","0","0","-330000","-550000","-550000","-440000","0","0","0","-1870000"
"徳梅辰郎","0","0","0","0","0","0","-94050","-429000","-513150","-511600","-637550","0","-2185350"
"株式会社Flagline","-264000","-599500","-599500","-599500","-599500","-531300","-525800","0","0","0","0","0","-3719100"
"ライフ輸入オフィス","-880000","-880000","-1980000","-1980000","-1100000","0","-770000","0","-287000","-150000","-1501156","0","-9528156"
"未選択","-520238","-569545","-532335","-583011","-614385","-575622","-520378","-551333","-730245","-2016038","-667628","-121461","-8002219"
"合計","-467951","3537212","4356863","-3274441","-859645","852033","-928835","1057415","282992","-3752984","1643791","-328676","2117774"




"品目","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","合計 (2025-03　~　2026-02)"
"認定利息","0","0","0","0","0","0","0","0","0","13908","0","0","13908"
"預金利息","86","667","152","218","682","1313","900","1072","884","802","786","725","8287"
"レンタサイクル","-330","0","0","0","0","0","0","0","0","0","0","0","-330"
"リボ払い利息","0","0","0","0","0","0","0","-492","0","0","0","0","-492"
"Amazonプライム会費","0","0","0","0","0","0","0","0","0","-600","0","0","-600"
"PERPLEXITY","0","0","0","0","0","0","0","-794","0","0","0","0","-794"
"源泉所得税","-13","-101","-23","-33","-104","-201","-137","-163","-135","-122","-120","-111","-1263"
"ABACUS.AI","0","0","0","-1503","0","0","0","0","0","0","0","0","-1503"
"SUNO","0","0","0","0","0","0","-1535","0","0","0","0","0","-1535"
"手土産","0","0","0","0","0","-1569","0","0","0","0","0","0","-1569"
"TAVILY AI","0","0","0","0","0","0","0","0","0","0","0","-1581","-1581"
"OPENROUTER","0","0","-1643","0","0","0","0","0","0","0","0","0","-1643"
"書籍代","0","0","0","0","0","0","0","0","-1870","0","0","0","-1870"
"PC周辺機器","0","0","0","0","0","0","-1999","0","0","0","0","0","-1999"
"felo","0","-2099","0","0","0","0","0","0","0","0","0","0","-2099"
"CODEIUM","-2338","0","0","0","0","0","0","0","0","0","0","0","-2338"
"RunwayML","0","-2424","0","0","0","0","0","0","0","0","0","0","-2424"
"スマートグラス","0","0","0","0","0","0","-2499","0","0","0","0","0","-2499"
"エンジニア交流会","0","0","0","0","0","-2500","0","0","0","0","0","0","-2500"
"ASANA","0","0","0","0","0","0","0","0","0","0","-2950","0","-2950"
"LUMA AI","-1537","-1490","0","0","0","0","0","0","0","0","0","0","-3027"
"Replicate","0","0","0","0","0","-3112","0","0","0","-253","0","0","-3365"
"nntech","0","0","0","0","0","0","0","0","0","-3500","0","0","-3500"
"Obsidian","0","0","-743","-742","-747","-763","-767","0","0","0","0","0","-3762"
"CLOUDFLARE","0","0","0","0","0","0","0","0","0","0","-3778","0","-3778"
"VideoProc Converter AI","0","0","-3780","0","0","0","0","0","0","0","0","0","-3780"
"タクシー利用（海外）","0","0","0","0","0","-3786","0","0","0","0","0","0","-3786"
"GitHub","0","0","0","0","0","0","0","0","0","0","-4317","0","-4317"
"CapCut","0","0","0","0","0","-2180","-2180","0","0","0","0","0","-4360"
"SLIDESPEAK","0","0","0","0","0","0","-4412","0","0","0","0","0","-4412"
"Windsurf","0","-2228","-2234","0","0","0","0","0","0","0","0","0","-4462"
"CalqWorks","-4980","0","0","0","0","0","0","0","0","0","0","0","-4980"
"スニフアウト","0","0","0","-1000","-4000","0","0","0","0","0","0","0","-5000"
"Midjourney","0","0","0","0","-1687","-1672","-1697","0","0","0","0","0","-5056"
"ChargeSPOT","0","0","-1190","-500","-930","0","0","-430","0","-4080","0","0","-7130"
"ZEALS","0","0","0","0","0","0","-7350","0","0","0","0","0","-7350"
"遅延損害金","-275","-789","-3599","-275","-408","-1192","0","-879","0","0","0","0","-7417"
"まぐまぐ！","-880","-880","-1760","-880","-880","-880","-880","-880","0","0","0","0","-7920"
"ハーフマラソン参加費","0","0","0","0","-8213","0","0","0","0","0","0","0","-8213"
"Google Colab","0","0","0","0","-1179","-1179","-1179","-1179","-1179","-1179","-1179","0","-8253"
"飲食代（海外）","0","0","0","0","0","-8804","0","0","0","0","0","0","-8804"
"OTTER.AI","0","-4473","0","-4469","0","0","0","0","0","0","0","0","-8942"
"POE","-3000","-3000","-3000","0","0","0","0","0","0","0","0","0","-9000"
"GEAR INDIGO","-2330","-2216","-2229","-2261","0","0","0","0","0","0","0","0","-9036"
"figma","0","0","-3300","-3300","0","0","-2475","0","0","0","0","0","-9075"
"参考書","0","0","0","0","0","0","0","-7150","0","-1980","0","0","-9130"
"Kling AI","0","0","0","0","0","-1087","0","-4472","-1401","-1411","-1427","0","-9798"
"NOTTA","0","0","-1980","-1980","-1980","-1980","-1980","0","0","0","0","0","-9900"
"飲食代","-10000","0","0","0","0","0","0","0","0","0","0","0","-10000"
"スイッチサイエンス","0","0","0","0","0","0","0","0","-10252","0","0","0","-10252"
"skywork","0","0","0","-2880","0","0","-7669","0","0","0","0","0","-10549"
"HEROKU","-1847","-1837","-1797","-1808","-1831","-1843","0","0","0","0","0","0","-10963"
"PADDLE NET","0","0","-11128","0","0","0","0","0","0","0","0","0","-11128"
"AQUA VOICE","0","0","0","-1506","-1534","-1522","-1528","-1558","-1627","-1625","-1634","0","-12534"
"LOVABLE","-2961","-2797","-2830","0","0","0","0","0","0","-4040","0","0","-12628"
"マッチングvillage","-2480","-2480","-2480","-2480","-2480","-2480","0","0","0","0","0","0","-14880"
"LOVART.AI","0","0","0","0","0","-2899","-2905","-3024","-3050","-3055","0","0","-14933"
"HIGGSFIELD","0","0","0","-2847","-4423","-4422","-4483","0","0","0","0","0","-16175"
"交流会","0","-3500","-1500","-9000","-3000","0","0","0","0","0","0","0","-17000"
"NGROK","0","0","0","0","0","-2745","-2783","0","-3750","-2886","-2913","-2912","-17989"
"X","0","0","0","0","0","0","-6080","-6080","0","-6080","0","0","-18240"
"イルシル","-1848","-1848","-1848","-1848","-1848","-1848","0","-1848","-1848","-1848","-1848","0","-18480"
"Firecrawl","-2957","-2947","-2858","-2821","-2825","-2956","-2917","0","0","0","0","0","-20281"
"Twilio","0","0","-2969","0","0","0","0","0","0","-11000","0","-7074","-21043"
"zoom","0","-2639","-2639","-2804","-2804","-2804","-2804","0","0","-2804","-2804","0","-22102"
"振込手数料","-1495","-1175","-3015","-2225","-1855","-1310","-1305","-1705","-3090","-2000","-2650","-290","-22115"
"HEYGEN","0","0","0","0","0","0","-4483","-18647","0","0","0","0","-23130"
"MEETING BAAS","-7794","-7739","0","0","0","0","0","0","0","0","0","-8126","-23659"
"CANVA","-2700","-4800","-2700","-2700","-2700","-2700","-4200","-2700","0","0","0","0","-25200"
"looirobot","0","0","0","0","0","0","0","0","-25829","0","0","0","-25829"
"HANABI AI","0","0","0","0","-18381","0","-2313","0","-2431","-2417","-2463","0","-28005"
"TAIZAN","0","0","0","0","0","-28600","0","0","0","0","0","0","-28600"
"Google One","-2900","-2900","-2900","-2900","-2900","-2900","-2900","0","-2900","-2900","-2900","0","-29000"
"Zapier","-4565","-4487","-4403","-4386","-4433","-4530","-4530","0","0","0","0","0","-31334"
"印紙代","0","0","0","0","0","0","0","0","0","-31340","-1340","0","-32680"
"ELEVENLABS","0","0","0","0","0","0","0","0","-38525","0","0","0","-38525"
"GENSPARK AI","0","-4264","0","-4122","-4220","-4194","-4202","-4309","-4414","-4420","-4497","0","-38642"
"Cleak","0","0","0","0","0","0","0","0","0","0","-39742","0","-39742"
"国内出張","0","0","0","0","0","0","0","0","-14720","0","-29840","0","-44560"
"Convex","0","0","0","0","0","0","0","0","-30000","0","-16414","0","-46414"
"ペライチ","0","0","0","-47282","0","0","0","0","0","0","0","0","-47282"
"エーアイブートキャンプ","-9800","-9800","-9800","-9800","-9300","0","0","0","0","0","0","0","-48500"
"note","-4980","-1110","-500","-6535","-5555","-5555","-5555","-5555","0","-5480","-3980","-3980","-48785"
"携帯代","-6065","-6065","-3489","-6175","-3489","-3490","-3490","0","0","-17015","0","0","-49278"
"LANGCHAIN","0","0","0","0","0","0","0","0","0","-102","-11579","-38525","-50206"
"ABLab","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","0","-55000"
"Dify","0","0","0","0","0","0","-8976","-9324","-9343","-9547","-9621","-9590","-56401"
"ADOBE","-6660","-6660","-3380","-6660","-6660","-6660","-6660","-3280","-3280","-3280","-3280","0","-56460"
"比較ビズ","-15180","-15180","-15180","-15180","0","0","0","0","0","0","0","0","-60720"
"REPLIT","-3891","-3870","-3756","-3722","0","0","-169","-12290","-14240","-10653","-9377","0","-61968"
"TLDX","-3898","-3795","-3767","-3763","-3829","-3803","-3864","-5526","-20834","-10503","-188","0","-63770"
"電子契約","0","0","0","-66000","0","0","0","0","0","0","0","0","-66000"
"エックスサーバー","0","0","0","0","0","0","0","0","-67800","0","0","0","-67800"
"海外出張","0","0","0","0","-78700","0","0","0","0","0","0","0","-78700"
"CAMPFIRE","0","0","0","0","-10000","-10000","-10000","-10000","-10000","-10000","-10000","-10000","-80000"
"営業代行","0","0","0","-82500","0","0","0","0","0","0","0","0","-82500"
"タクシー代","-7066","-5850","-20320","-24800","-25520","-4100","0","0","0","0","0","-1400","-89056"
"MANUS AI","0","-30831","-5757","-5808","-5820","-6065","-5927","-5985","-6209","-6296","-6312","-6224","-91234"
"初期費用","0","0","0","0","0","0","0","0","0","-95040","0","0","-95040"
"KANDAQUANTUM","0","-32830","0","0","-32289","0","0","-32920","0","0","0","0","-98039"
"SUPABASE","0","0","-3806","-6965","-11431","-11999","-12744","-13453","-14958","-17117","-18846","0","-111319"
"レンタルオフィス","0","0","0","0","0","0","0","0","-115500","0","0","0","-115500"
"電車","0","0","0","0","0","0","0","0","0","-130878","0","0","-130878"
"Microsoft","-12489","-11043","-12487","-15181","-2760","-22133","-1187","-22450","-12436","-14211","-14313","0","-140690"
"slack","-1156","-1156","-3465","-3465","-3465","-3465","-20899","-15631","-17325","-21175","-38300","-13040","-142542"
"NIC会費","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","0","-143000"
"VERCEL","-9301","-9263","-8895","-9696","-5969","-6220","-9131","-18558","-19154","-22629","-19469","-12767","-151052"
"健康保険料（事業主負担分）","-3864","-3864","-3864","-17838","-17838","-17838","-17838","-17838","-17838","-17838","-17838","0","-154296"
"CLAUDE","-9253","-2952","-16944","-2969","-8933","-10674","-10688","-3048","-16186","-29001","-52860","0","-163508"
"弁護士報酬","0","-33000","0","0","0","0","-22000","0","0","-44000","-88000","0","-187000"
"freee利用料","-7813","-4290","-4290","-83226","-4290","-4290","-4290","-4290","-4290","-4290","-84964","0","-210323"
"GoogleWorkspace","-9874","-9874","-9874","-9874","-9874","-12988","-19976","-25142","-28068","-28068","-26379","-25978","-215969"
"Notion","-8346","-7140","-7410","-7209","-7361","-13953","-27136","-42925","-42276","-39036","-26636","-23061","-252489"
"Linear","0","0","0","0","0","0","-88835","-30696","-134341","0","0","0","-253872"
"厚生年金保険料（事業主負担分）","-8052","-8052","-8052","-32940","-32940","-32940","-32940","-32940","-32940","-32940","-32940","0","-287676"
"Google Cloud","-18206","-19087","-260","-23033","-8501","-13993","-34987","-24784","-68478","-65731","-109726","0","-386786"
"chatGPT","-33948","-32669","-65202","0","-55005","-48581","-8366","-89643","-8879","-47913","-21360","-8777","-420343"
"AWS","-73529","-79756","-74047","-74394","-71873","-75555","-75735","-73598","-2951","-2985","-3000","0","-607423"
"採用","0","0","0","0","-86911","-86889","-86900","-86900","-86911","-86889","-86900","0","-608300"
"税理士報酬","-63800","-52800","-52800","-52800","-52800","-52800","-52800","-52800","-55000","-55000","-99000","0","-642400"
"展示会出展","0","0","0","0","0","0","0","0","0","0","-687500","0","-687500"
"オフィス","-84892","-86047","-84892","-87780","-84892","-86047","-84892","0","0","-325467","0","-129945","-1054854"
"CURSOR","-28130","-22946","-9335","-71645","-96811","-47707","-69809","-160872","-131763","-541037","-110749","-3169","-1293973"
"発注ナビ","-891000","-198000","-297000","-99000","-99000","0","0","0","0","0","0","0","-1584000"
"未選択","928386","4315588","5171831","-2319149","74851","1555123","-101749","1931101","1388129","-1966033","3376938","-22851","14332165"
"合計","-467951","3537212","4356863","-3274441","-859645","852033","-928835","1057415","282992","-3752984","1643791","-328676","2117774"




"勘定科目","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","合計 (2025-03　~　2026-02)"
"売上高","2585000","6985000","8195000","715000","2332000","3088250","2868250","4441250","3946250","660000","6803500","0","42619500"
"受取利息","86","667","152","218","682","1313","900","1072","884","14710","786","725","22195"
"雑収入","535","0","0","0","0","0","0","0","0","0","0","0","535"
"諸会費","0","0","0","0","0","0","0","0","0","-22600","0","0","-22600"
"研修費","-9800","-9800","-9800","-9800","-9300","0","0","0","0","0","0","0","-48500"
"新聞図書費","-5860","-1990","-2760","-7915","-6935","-6435","-6435","-13585","-1870","-7460","-3980","-3980","-69205"
"会議費","-10000","-1100","0","-2750","0","-10372","0","0","-115500","0","0","0","-139722"
"消耗品費","-69980","-57282","0","0","0","-29528","-4498","0","-39061","-6280","-3000","0","-209629"
"支払手数料","-20992","-23202","-25836","-21860","-6305","-8559","-5347","-3076","-3090","-110949","-2650","-25596","-257462"
"交際費","-20480","-23980","-21980","-29480","-41693","-44491","-28000","-28000","-28000","-28000","-28000","-10000","-332104"
"旅費交通費","-7396","-5850","-20320","-24800","-104220","-7886","0","0","-14720","-130878","-29840","-1400","-347310"
"減価償却費","-37853","-37853","-37853","-37853","-37853","-37853","-37853","-37853","-37853","-37857","0","0","-378534"
"法定福利費","-12232","-12232","-12232","-52074","-52074","-52074","-52074","-52074","-52066","-52074","-52074","0","-453280"
"法人税・住民税及び事業税","0","0","0","0","0","0","0","0","0","-636900","0","0","-636900"
"租税公課","-13","-101","-23","-33","-104","-201","-137","-163","-135","-682562","-1460","-111","-685043"
"支払報酬料","-63800","-85800","-52800","-52800","-52800","-52800","-74800","-52800","-55000","-99000","-187000","0","-829400"
"地代家賃","-80850","-80850","-80850","-80850","-80850","-80850","-80850","0","0","-296103","0","-127490","-989543"
"広告宣伝費","-891000","-198000","-297000","-99000","-185911","-86889","-86900","-86900","-86911","-86889","-774400","0","-2879800"
"役員報酬","-350000","-350000","-350000","-350000","-350000","-350000","-350000","-350000","-350000","-350000","-350000","0","-3850000"
"通信費","-274316","-338415","-292335","-493444","-396782","-342292","-490241","-639456","-713936","-937542","-652825","-160824","-5732408"
"外注費","-1199000","-2222000","-2634500","-2727000","-1867500","-1127300","-2580850","-2121000","-2166000","-942600","-3075266","0","-22663016"
"合計","-467951","3537212","4356863","-3274441","-859645","852033","-928835","1057415","282992","-3752984","1643791","-328676","2117774"
