"損益レポート (2025年01月~2025年12月）"
"取引先","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","合計 (2025-01　~　2025-12)"
"株式会社NXワンビシアーカイブズ","0","0","0","0","0","-66000","0","0","0","0","0","0","-66000"
"エックスサーバー株式会社","0","0","0","0","0","0","0","0","0","0","-67800","0","-67800"
"日本XREAL株式会社","0","0","-69980","0","0","0","0","0","0","0","0","0","-69980"
"tldx Solutions GmbH","-3985","-3891","-3898","-3795","-3767","-3763","-3829","-3803","-3864","-5526","-20834","-10503","-71458"
"BUTTERFLY EFFECT PTE. LTD.","0","0","0","-30831","-5757","-5808","-5820","-6065","-5927","-5985","-6209","-6296","-78698"
"㈲シーワークス","0","0","0","0","0","-82500","0","0","0","0","0","0","-82500"
"Linear Orbit Inc","0","0","0","0","0","0","0","0","-88835","0","0","0","-88835"
"Supabase Inc","0","0","0","0","-3806","-6965","-11431","-11999","-12744","-13453","-14958","-17117","-92473"
"Slack Technologies Limited,","-1156","-1156","-1156","-1156","-3465","-3465","-3465","-3465","-20899","-15631","-17325","-21175","-93514"
"Anthropic, PBC","-3229","-3162","-6183","-2952","-16944","-2969","-8933","-10674","-10688","-3048","-16186","-29001","-113969"
"株式会社Kanda Quantum","-35087","0","0","-32830","0","0","-32289","0","0","-32920","0","0","-133126"
"Vercel Inc.","-9721","-9520","-9301","-9263","-8895","-9696","-5969","-6220","-9131","-18558","-19154","-22629","-138057"
"ネクストイノベーション経営者倶楽部","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-156000"
"Recall.ai","-167427","0","0","0","0","0","0","0","0","0","0","0","-167427"
"フリー株式会社","-81004","-4290","-7813","-4290","-4290","-83226","-4290","-4290","-4290","-4290","-4290","-4290","-210653"
"Notion Labs, Inc.,","-4262","-4173","-8346","-7140","-7410","-7209","-7361","-13953","-27136","-42925","-42276","-39036","-211227"
"永松光平","-231000","0","0","0","0","0","0","0","0","0","0","0","-231000"
"Google Asia Pacific Pte.Ltd.,","-51538","-38567","-9874","-9874","-9874","-9874","-9874","-12988","-19976","-25142","-28068","-28068","-253717"
"マイス株式会社","0","0","0","-275000","0","0","0","0","0","0","0","0","-275000"
"グーグル・クラウド・ジャパン合同会社","-18725","-20375","-18206","-19087","-260","-23033","-8501","-13993","-34987","-24784","-45228","-65731","-292910"
"桑島陽斗","0","0","0","0","0","-10000","-102000","-79000","-12000","-63000","-29000","0","-295000"
"DORIRU株式会社","-363000","0","0","0","0","0","0","0","0","0","0","0","-363000"
"Open AI, LCC","-2664","0","-33948","-32669","-65202","0","-55005","-48581","-8366","-89643","-8879","-26570","-371527"
"加藤篤","0","0","0","0","0","0","0","-132000","-63000","0","-188100","0","-383100"
"nex株式会社","0","0","0","0","0","0","0","0","0","0","0","-396252","-396252"
"MEZAME AI 岡田","0","0","0","-412500","0","0","0","0","0","0","0","0","-412500"
"羽田野喜幸","0","0","0","0","0","0","0","0","-126000","-144000","-168000","-6000","-444000"
"株式会社Another works","0","0","0","0","0","0","-86911","-86889","-86900","-86900","-86911","-86889","-521400"
"株式会社AsetZ","0","0","-55000","-55000","-55000","-55000","-55000","-55000","-55000","-55000","-55000","-55000","-550000"
"Amazon Web Services, Inc.,","-56120","-83720","-73529","-79756","-74047","-74394","-71873","-75555","-75735","-73598","-2951","0","-741278"
"エリアリンク株式会社","-84892","-84892","-84892","-86047","-84892","-87780","-84892","-86047","-84892","0","0","-24255","-793481"
"上田輝","0","0","0","0","0","0","0","0","-220000","-220000","-220000","-220000","-880000"
"井手弘達税理士事務所","-85800","-272800","-63800","-52800","-52800","-52800","-52800","-52800","-52800","-52800","-55000","-55000","-902000"
"長島陸温","0","0","0","0","0","0","0","0","-165000","-660000","-275000","0","-1100000"
"Anysphere","-28218","-9112","-28130","-22946","-9335","-71645","-96811","-47707","-69809","-160872","-131763","-541037","-1217385"
"徳梅辰郎","0","0","0","0","0","0","0","0","-94050","-429000","-513150","-511600","-1547800"
"初村秀仁","0","0","0","0","0","0","0","-330000","-550000","-550000","-440000","0","-1870000"
"発注ナビ株式会社","-495000","-198000","-891000","-198000","-297000","-99000","-99000","0","0","0","0","0","-2277000"
"株式会社Flagline","-264000","-264000","-264000","-599500","-599500","-599500","-599500","-531300","-525800","0","0","0","-4247100"
"ライフ輸入オフィス","0","0","-880000","-880000","-1980000","-1980000","-1100000","0","-770000","0","-287000","-150000","-8027000"
"未選択","-225281","-524563","-520238","-569545","-532335","-583011","-614385","-575622","-520378","-551333","-730245","-2016038","-7962974"
"合計","-871893","1969379","-467951","3537212","4356863","-3274441","-859645","852033","-928835","1057415","282992","-3752984","1900145"




"品目","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","合計 (2025-01　~　2025-12)"
"認定利息","0","0","0","0","0","0","0","0","0","0","0","13908","13908"
"預金利息","108","86","86","667","152","218","682","1313","900","1072","884","802","6970"
"LANGCHAIN","0","0","0","0","0","0","0","0","0","0","0","-102","-102"
"shopify","-150","0","0","0","0","0","0","0","0","0","0","0","-150"
"リボ払い利息","0","0","0","0","0","0","0","0","0","-492","0","0","-492"
"Amazonプライム会費","0","0","0","0","0","0","0","0","0","0","0","-600","-600"
"PERPLEXITY","0","0","0","0","0","0","0","0","0","-794","0","0","-794"
"源泉所得税","-16","-15","-13","-101","-23","-33","-104","-201","-137","-163","-135","-122","-1063"
"AI議事録取れる君","-1078","0","0","0","0","0","0","0","0","0","0","0","-1078"
"ABACUS.AI","0","0","0","0","0","-1503","0","0","0","0","0","0","-1503"
"SUNO","0","0","0","0","0","0","0","0","-1535","0","0","0","-1535"
"XAI","0","-1554","0","0","0","0","0","0","0","0","0","0","-1554"
"Azure音声認識","-1581","0","0","0","0","0","0","0","0","0","0","0","-1581"
"書籍代","0","0","0","0","0","0","0","0","0","0","-1870","0","-1870"
"PC周辺機器","0","0","0","0","0","0","0","0","-1999","0","0","0","-1999"
"felo","0","0","0","-2099","0","0","0","0","0","0","0","0","-2099"
"CODEIUM","0","0","-2338","0","0","0","0","0","0","0","0","0","-2338"
"RunwayML","0","0","0","-2424","0","0","0","0","0","0","0","0","-2424"
"スマートグラス","0","0","0","0","0","0","0","0","-2499","0","0","0","-2499"
"エンジニア交流会","0","0","0","0","0","0","0","-2500","0","0","0","0","-2500"
"LUMA AI","0","0","-1537","-1490","0","0","0","0","0","0","0","0","-3027"
"CREATE","-3059","0","0","0","0","0","0","0","0","0","0","0","-3059"
"COZE","-3086","0","0","0","0","0","0","0","0","0","0","0","-3086"
"Fiverr","0","-3173","0","0","0","0","0","0","0","0","0","0","-3173"
"Replicate","0","0","0","0","0","0","0","-3112","0","0","0","-253","-3365"
"nntech","0","0","0","0","0","0","0","0","0","0","0","-3500","-3500"
"SHENDUQRWEA","-3502","0","0","0","0","0","0","0","0","0","0","0","-3502"
"Obsidian","0","0","0","0","-743","-742","-747","-763","-767","0","0","0","-3762"
"VideoProc Converter AI","0","0","0","0","-3780","0","0","0","0","0","0","0","-3780"
"タクシー利用（海外）","0","0","0","0","0","0","0","-3786","0","0","0","0","-3786"
"CapCut","0","0","0","0","0","0","0","-2180","-2180","0","0","0","-4360"
"SLIDESPEAK","0","0","0","0","0","0","0","0","-4412","0","0","0","-4412"
"Windsurf","0","0","0","-2228","-2234","0","0","0","0","0","0","0","-4462"
"スニフアウト","0","0","0","0","0","-1000","-4000","0","0","0","0","0","-5000"
"Midjourney","0","0","0","0","0","0","-1687","-1672","-1697","0","0","0","-5056"
"手土産","0","-4634","0","0","0","0","0","-1569","0","0","0","0","-6203"
"Google Colab","0","0","0","0","0","0","-1179","-1179","-1179","-1179","-1179","-1179","-7074"
"ZEALS","0","0","0","0","0","0","0","0","-7350","0","0","0","-7350"
"遅延損害金","0","0","-275","-789","-3599","-275","-408","-1192","0","-879","0","0","-7417"
"PDF guru","-7674","0","0","0","0","0","0","0","0","0","0","0","-7674"
"ドメイン利用料","0","-7700","0","0","0","0","0","0","0","0","0","0","-7700"
"まぐまぐ！","0","0","-880","-880","-1760","-880","-880","-880","-880","-880","0","0","-7920"
"ハーフマラソン参加費","0","0","0","0","0","0","-8213","0","0","0","0","0","-8213"
"Kling AI","0","0","0","0","0","0","0","-1087","0","-4472","-1401","-1411","-8371"
"OPENROUTER","-5298","-1714","0","0","-1643","0","0","0","0","0","0","0","-8655"
"飲食代（海外）","0","0","0","0","0","0","0","-8804","0","0","0","0","-8804"
"OTTER.AI","0","0","0","-4473","0","-4469","0","0","0","0","0","0","-8942"
"POE","0","0","-3000","-3000","-3000","0","0","0","0","0","0","0","-9000"
"figma","0","0","0","0","-3300","-3300","0","0","-2475","0","0","0","-9075"
"参考書","0","0","0","0","0","0","0","0","0","-7150","0","-1980","-9130"
"NOTTA","0","0","0","0","-1980","-1980","-1980","-1980","-1980","0","0","0","-9900"
"スイッチサイエンス","0","0","0","0","0","0","0","0","0","0","-10252","0","-10252"
"skywork","0","0","0","0","0","-2880","0","0","-7669","0","0","0","-10549"
"AQUA VOICE","0","0","0","0","0","-1506","-1534","-1522","-1528","-1558","-1627","-1625","-10900"
"PADDLE NET","0","0","0","0","-11128","0","0","0","0","0","0","0","-11128"
"NGROK","0","0","0","0","0","0","0","-2745","-2783","0","-3750","-2886","-12164"
"GEAR INDIGO","-2419","-2316","-2330","-2216","-2229","-2261","0","0","0","0","0","0","-13771"
"Twilio","0","0","0","0","-2969","0","0","0","0","0","0","-11000","-13969"
"国内出張","0","0","0","0","0","0","0","0","0","0","-14720","0","-14720"
"HEROKU","-1942","-1869","-1847","-1837","-1797","-1808","-1831","-1843","0","0","0","0","-14774"
"LOVART.AI","0","0","0","0","0","0","0","-2899","-2905","-3024","-3050","-3055","-14933"
"CalqWorks","-4980","-4980","-4980","0","0","0","0","0","0","0","0","0","-14940"
"ChargeSPOT","0","-8160","0","0","-1190","-500","-930","0","0","-430","0","-4080","-15290"
"MEETING BAAS","0","0","-7794","-7739","0","0","0","0","0","0","0","0","-15533"
"LOVABLE","0","-2942","-2961","-2797","-2830","0","0","0","0","0","0","-4040","-15570"
"HIGGSFIELD","0","0","0","0","0","-2847","-4423","-4422","-4483","0","0","0","-16175"
"飲食代","0","-6995","-10000","0","0","0","0","0","0","0","0","0","-16995"
"X","0","0","0","0","0","0","0","0","-6080","-6080","0","-6080","-18240"
"マッチングvillage","-2480","-2480","-2480","-2480","-2480","-2480","-2480","-2480","0","0","0","0","-19840"
"Firecrawl","0","0","-2957","-2947","-2858","-2821","-2825","-2956","-2917","0","0","0","-20281"
"イルシル","-1848","-1848","-1848","-1848","-1848","-1848","-1848","-1848","0","-1848","-1848","-1848","-20328"
"zoom","-2338","0","0","-2639","-2639","-2804","-2804","-2804","-2804","0","0","-2804","-21636"
"振込手数料","-2000","-1515","-1495","-1175","-3015","-2225","-1855","-1310","-1305","-1705","-3090","-2000","-22690"
"交流会","0","-6000","0","-3500","-1500","-9000","-3000","0","0","0","0","0","-23000"
"HANABI AI","0","0","0","0","0","0","-18381","0","-2313","0","-2431","-2417","-25542"
"looirobot","0","0","0","0","0","0","0","0","0","0","-25829","0","-25829"
"TAIZAN","0","0","0","0","0","0","0","-28600","0","0","0","0","-28600"
"レンタサイクル","0","-28380","-330","0","0","0","0","0","0","0","0","0","-28710"
"Convex","0","0","0","0","0","0","0","0","0","0","-30000","0","-30000"
"Google One","-1450","-2900","-2900","-2900","-2900","-2900","-2900","-2900","-2900","0","-2900","-2900","-30450"
"CANVA","-2700","-2700","-2700","-4800","-2700","-2700","-2700","-2700","-4200","-2700","0","0","-30600"
"印紙代","0","0","0","0","0","0","0","0","0","0","0","-31340","-31340"
"GENSPARK AI","0","0","0","-4264","0","-4122","-4220","-4194","-4202","-4309","-4414","-4420","-34145"
"HEYGEN","-12703","0","0","0","0","0","0","0","-4483","-18647","0","0","-35833"
"Dify","0","0","0","0","0","0","0","0","-8976","-9324","-9343","-9547","-37190"
"ELEVENLABS","0","0","0","0","0","0","0","0","0","0","-38525","0","-38525"
"note","0","0","-4980","-1110","-500","-6535","-5555","-5555","-5555","-5555","0","-5480","-40825"
"Zapier","-4857","-4782","-4565","-4487","-4403","-4386","-4433","-4530","-4530","0","0","0","-40973"
"ペライチ","0","0","0","0","0","-47282","0","0","0","0","0","0","-47282"
"ADOBE","-2728","-3280","-6660","-6660","-3380","-6660","-6660","-6660","-6660","-3280","-3280","-3280","-59188"
"ABLab","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-60000"
"CAMPFIRE","0","0","0","0","0","0","-10000","-10000","-10000","-10000","-10000","-10000","-60000"
"携帯代","-6065","-6065","-6065","-6065","-3489","-6175","-3489","-3490","-3490","0","0","-17015","-61408"
"エックスサーバー","0","0","0","0","0","0","0","0","0","0","-67800","0","-67800"
"TLDX","-3985","-3891","-3898","-3795","-3767","-3763","-3829","-3803","-3864","-5526","-20834","-10503","-71458"
"REPLIT","-15477","-4002","-3891","-3870","-3756","-3722","0","0","-169","-12290","-14240","-10653","-72070"
"エーアイブートキャンプ","-14800","-9800","-9800","-9800","-9800","-9800","-9300","0","0","0","0","0","-73100"
"電子契約","-9680","0","0","0","0","-66000","0","0","0","0","0","0","-75680"
"MANUS AI","0","0","0","-30831","-5757","-5808","-5820","-6065","-5927","-5985","-6209","-6296","-78698"
"海外出張","0","0","0","0","0","0","-78700","0","0","0","0","0","-78700"
"営業代行","0","0","0","0","0","-82500","0","0","0","0","0","0","-82500"
"比較ビズ","-15180","-15180","-15180","-15180","-15180","-15180","0","0","0","0","0","0","-91080"
"SUPABASE","0","0","0","0","-3806","-6965","-11431","-11999","-12744","-13453","-14958","-17117","-92473"
"slack","-1156","-1156","-1156","-1156","-3465","-3465","-3465","-3465","-20899","-15631","-17325","-21175","-93514"
"初期費用","0","0","0","0","0","0","0","0","0","0","0","-95040","-95040"
"タクシー代","-3200","-6276","-7066","-5850","-20320","-24800","-25520","-4100","0","0","0","0","-97132"
"弁護士報酬","0","0","0","-33000","0","0","0","0","-22000","0","0","-44000","-99000"
"レンタルオフィス","0","0","0","0","0","0","0","0","0","0","-115500","0","-115500"
"CLAUDE","-3229","-3939","-9253","-2952","-16944","-2969","-8933","-10674","-10688","-3048","-16186","-29001","-117816"
"電車","0","0","0","0","0","0","0","0","0","0","0","-130878","-130878"
"KANDAQUANTUM","-35087","0","0","-32830","0","0","-32289","0","0","-32920","0","0","-133126"
"VERCEL","-9721","-9520","-9301","-9263","-8895","-9696","-5969","-6220","-9131","-18558","-19154","-22629","-138057"
"健康保険料（事業主負担分）","0","-3892","-3864","-3864","-3864","-17838","-17838","-17838","-17838","-17838","-17838","-17838","-140350"
"Microsoft","-11084","-14029","-12489","-11043","-12487","-15181","-2760","-22133","-1187","-22450","-12436","-14211","-151490"
"NIC会費","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-156000"
"Recall.AI","-167427","0","0","0","0","0","0","0","0","0","0","0","-167427"
"freee利用料","-81004","-4290","-7813","-4290","-4290","-83226","-4290","-4290","-4290","-4290","-4290","-4290","-210653"
"Notion","-4262","-4173","-8346","-7140","-7410","-7209","-7361","-13953","-27136","-42925","-42276","-39036","-211227"
"GoogleWorkspace","-51538","-38567","-9874","-9874","-9874","-9874","-9874","-12988","-19976","-25142","-28068","-28068","-253717"
"Linear","0","0","0","0","0","0","0","0","-88835","-30696","-134341","0","-253872"
"厚生年金保険料（事業主負担分）","0","-8052","-8052","-8052","-8052","-32940","-32940","-32940","-32940","-32940","-32940","-32940","-262788"
"Google Cloud","-18725","-20375","-18206","-19087","-260","-23033","-8501","-13993","-34987","-24784","-68478","-65731","-316160"
"chatGPT","-2664","0","-33948","-32669","-65202","0","-55005","-48581","-8366","-89643","-8879","-47913","-392870"
"採用","0","0","0","0","0","0","-86911","-86889","-86900","-86900","-86911","-86889","-521400"
"AWS","-56120","-83720","-73529","-79756","-74047","-74394","-71873","-75555","-75735","-73598","-2951","-2985","-744263"
"税理士報酬","-85800","-272800","-63800","-52800","-52800","-52800","-52800","-52800","-52800","-52800","-55000","-55000","-902000"
"オフィス","-84892","-84892","-84892","-86047","-84892","-87780","-84892","-86047","-84892","0","0","-325467","-1094693"
"CURSOR","-28218","-9112","-28130","-22946","-9335","-71645","-96811","-47707","-69809","-160872","-131763","-541037","-1217385"
"発注ナビ","-495000","-198000","-891000","-198000","-297000","-99000","-99000","0","0","0","0","0","-2277000"
"未選択","418202","2888961","928386","4315588","5171831","-2319149","74851","1555123","-101749","1931101","1388129","-1966033","14285241"
"合計","-871893","1969379","-467951","3537212","4356863","-3274441","-859645","852033","-928835","1057415","282992","-3752984","1900145"




"勘定科目","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","合計 (2025-01　~　2025-12)"
"売上高","1386000","3520000","2585000","6985000","8195000","715000","2332000","3088250","2868250","4441250","3946250","660000","40722000"
"受取利息","108","86","86","667","152","218","682","1313","900","1072","884","14710","20878"
"雑収入","819","1650","535","0","0","0","0","0","0","0","0","0","3004"
"諸会費","-10800","0","0","0","0","0","0","0","0","0","0","-22600","-33400"
"新聞図書費","0","0","-5860","-1990","-2760","-7915","-6935","-6435","-6435","-13585","-1870","-7460","-61245"
"研修費","-14800","-9800","-9800","-9800","-9800","-9800","-9300","0","0","0","0","0","-73100"
"会議費","0","-6995","-10000","-1100","0","-2750","0","-10372","0","0","-115500","0","-146717"
"消耗品費","-1444","0","-69980","-57282","0","0","0","-29528","-4498","0","-39061","-6280","-208073"
"支払手数料","-21222","-20737","-20992","-23202","-25836","-21860","-6305","-8559","-5347","-3076","-3090","-110949","-271175"
"交際費","-20480","-31114","-20480","-23980","-21980","-29480","-41693","-44491","-28000","-28000","-28000","-28000","-345698"
"旅費交通費","-3200","-34656","-7396","-5850","-20320","-24800","-104220","-7886","0","0","-14720","-130878","-353926"
"法定福利費","0","-12260","-12232","-12232","-12232","-52074","-52074","-52074","-52074","-52074","-52066","-52074","-413466"
"減価償却費","-18373","-18373","-37853","-37853","-37853","-37853","-37853","-37853","-37853","-37853","-37853","-37857","-415280"
"法人税・住民税及び事業税","0","0","0","0","0","0","0","0","0","0","0","-636900","-636900"
"租税公課","-16","-15","-13","-101","-23","-33","-104","-201","-137","-163","-135","-682562","-683503"
"支払報酬料","-85800","-272800","-63800","-85800","-52800","-52800","-52800","-52800","-74800","-52800","-55000","-99000","-1001000"
"地代家賃","-80850","-80850","-80850","-80850","-80850","-80850","-80850","-80850","-80850","0","0","-296103","-1023753"
"広告宣伝費","-495000","-198000","-891000","-198000","-297000","-99000","-185911","-86889","-86900","-86900","-86911","-86889","-2798400"
"役員報酬","-80000","-350000","-350000","-350000","-350000","-350000","-350000","-350000","-350000","-350000","-350000","-350000","-3930000"
"通信費","-568835","-252757","-274316","-338415","-292335","-493444","-396782","-342292","-490241","-639456","-713936","-937542","-5740351"
"外注費","-858000","-264000","-1199000","-2222000","-2634500","-2727000","-1867500","-1127300","-2580850","-2121000","-2166000","-942600","-20709750"
"合計","-871893","1969379","-467951","3537212","4356863","-3274441","-859645","852033","-928835","1057415","282992","-3752984","1900145"
